Afghanistan,Kabul,afghani
Romania,Bucharest,Romanian leu
Russia,Moscow,rouble
Rwanda,Kigali,Rwandese franc
Saint Helena,Jamestown,Saint Helena pound
Saint Kitts and Nevis,Basseterre,Eastern Caribbean dollar
Saint Lucia,Castries,Eastern Caribbean dollar
Saint Pierre and Miquelon,Saint-Pierre,euro
Saint Vincent and the Grenadines,Kingstown,Eastern Caribbean dollar
Samoa,Apia,tala 
San Marino,San Marino,euro
São Tomé and Príncipe,São Tomé,dobra
Saudi Arabia,Riyadh,Saudi riyal
Senegal,Dakar,CFA franc67
Serbia and Montenegro,Belgrade,dinar ; euro
Seychelles,Victoria,Seychelles rupee
Sierra Leone,Freetown,leone
Singapore,Singapore,Singapore dollar
Slovakia,Bratislava,Slovak koruna
Slovenia,Ljubljana,tolar
Solomon Islands,Honiara,Solomon Islands dollar
Somalia,Mogadishu,Somali shilling
South Africa,Pretoria,rand
South Georgia and the South Sandwich Islands,-,-
South Korea,Seoul,South Korean won
Spain,Madrid,euro
Sri Lanka,Colombo,Sri Lankan rupee
Sudan,Khartoum,Sudanese dinar
Suriname,Paramaribo,Suriname guilder
Svalbard and Jan Mayen,Longyearbyen,Norwegian krone
Swaziland,Mbabane,lilangeni
Sweden,Stockholm,Swedish krona 
Switzerland,Berne,Swiss franc
Syria,Damascus,Syrian pound
Taiwan,Taipei,new Taiwan dollar
Tajikistan,Dushanbe,somoni
Tanzania,Dodoma,Tanzanian shilling
Thailand,Bangkok,baht 
Timor-Leste,Dili,US dollar
Togo,Lomé,franc79
Tokelau,Fakaofo,New Zealand dollar
Tonga,Nuku'alofa,pa'anga
Trinidad and Tobago,Port of Spain,Trinidad and Tobago dollar
Tunisia,Tunis,Tunisian dinar
Turkey,Ankara,Turkish lira
Turkmenistan,Ashgabat,Turkmen manat
Turks and Caicos Islands,Cockburn Town,US dollar
Tuvalu,Fongafale,Australian dollar
Uganda,Kampala,Ugandan shilling
Ukraine,Kiev,hryvnia
United Arab Emirates,Abu Dhabi,UAE dirham
United Kingdom,London,pound sterling
United States,Washington DC,US dollar
United States Minor Outlying Islands,-,-
Uruguay,Montevideo,Uruguayan peso
US Virgin Islands,Charlotte Amalie,US dollar
Uzbekistan,Tashkent,sum
Vanuatu,Port Vila,vatu 
The Hoy See (Vatican City State),Vatican City,euro
Venezuela,Caracas,bolÌvar
Vietnam,Hanoi,dong
Wallis and Futuna,Mata-Utu,CFP franc
Western Sahara,Al aaiun,Moroccan dirham
Yemen,San'a,Yemeni rial
Zambia,Lusaka,Zambian kwacha 
Zimbabwe,Harare,Zimbabwe dollar
